Country,Property,Value
,,
Zimbabwe,CONFIRMED,32952
,,
Zimbabwe,DEATH,1178
,,
Zimbabwe,RECOVERED,24872
,,
Zambia,CONFIRMED,51624
,,
Zambia,DEATH,728
,,
Zambia,RECOVERED,44133
,,
Malawi,CONFIRMED,23020
,,
Malawi,DEATH,643
,,
Malawi,RECOVERED,7815
,,
Lesotho,CONFIRMED,8610
,,
Lesotho,DEATH,163
,,
Lesotho,RECOVERED,2512
,,
Mozambique,CONFIRMED,37108
,,
Mozambique,DEATH,356
,,
Mozambique,RECOVERED,23559
,,
Madagascar,CONFIRMED,18743
,,
Madagascar,DEATH,279
,,
Madagascar,RECOVERED,17930
,,
Botswana,CONFIRMED,21293
,,
Botswana,DEATH,134
,,
Botswana,RECOVERED,17198
,,
Namibia,CONFIRMED,33696
,,
Namibia,DEATH,342
,,
Namibia,RECOVERED,31652
,,
Angola,CONFIRMED,19723
,,
Angola,DEATH,464
,,
Angola,RECOVERED,17918
